Tweet,Timestamp
"'@buiIdthewall: @realDonaldTrump high energy!'",May 24
"'@PiperSul: Great speech tonight Mr.Trump! Good Luck in California! Thank you.",May 24
"'@DeepakS76435750: @realDonaldTrump congratulations from India'",May 24
"'@oasisupernova: @realDonaldTrump UP TO 8.4 MILLION FOLLOWERS. CAN'T STOP THE #TrumpTrain 🚂 #MakeAmericaGreatAgain'",May 24
"'@jknatter: @realDonaldTrump #TrumpTrain'",May 24
"'@tcloer11: @realDonaldTrump Great job! Make America Great Again!'",May 24
"@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!",May 24
"Great rally in New Mexico, amazing crowd! Now in L.A. Big rally in Anaheim.",May 24
"Thank you Washington! #Trump2016 #MakeAmericaGreatAgain pic.twitter.com/v9glTwj6gy",May 24
"Great honor to receive today's endorsement of @RickSantorum. Really nice! #Trump2016",May 24
"After raising, w/ no obligation, almost $6M for Vets, I couldn't believe protesters formed @ Trump Tower. JUST OUT- SENT BY CROOKED HILLARY!",May 24
"Thank you @DailyMail- for setting the failing @NYTimes story straight. This is what the NYT's should have written!  dailymail.co.uk/news/article-3…",May 24
"A suggestion for the dishonest media- instagram.com/p/BFy12zpmhc9/",May 24
"A wonderfully written article concerning Israel by @JasonDovEsq blogs.timesofisrael.com/a-trump-presid…",May 24
"A great new book has been written about Crooked Hillary. Read it & you will never be able to vote for her. @Ed_Klein amazon.com/Unlikeable-Pro…",May 24
"Crooked Hillary Clinton overregulates, overtaxes and doesn't care about jobs. Most importantly, she suffers from plain old bad judgement!",May 24
"I just released my financial disclosure forms, the largest numbers in the history of the F.E.C. Even the dishonest media thinks great!",May 24
"Amazingly, with all of the money I have raised for the vets, I have got nothing but bad publicity from the dishonest and disgusting media.",May 23
"Much of the money I have raised for our veterans has already been distributed, with the rest to go shortly to various other veteran groups.",May 23
"While under no obligation to do so, I have raised between 5 & 6 million dollars, including 1million dollars from me, for our VETERANS. Nice!",May 23
"Join me in California or Montana! 5/25/16: Anaheim, California bit.ly/20nwDoeANAHEIM 5/26/16: Billings, Montana bit.ly/22mHf8nMONTANA",May 23
"I will be interviewed on @oreillyfactor at 8:00 P.M. Enjoy!",May 23
"Obama’s VA Secretary just said we shouldn't measure wait times. Hillary says VA problems are not ‘widespread.’ I will take care of our vets!",May 23
"Is Hillary really protecting women? instagram.com/p/BFwTioiGhQj/",May 23
"In trade, military and EVERYTHING else, it will be AMERICA FIRST! This will quickly lead to our ultimate goal: MAKE AMERICA GREAT AGAIN!",May 23
"Thank you America! #Trump2016 pic.twitter.com/xfINxdRNiQ",May 22
"The American people are sick and tired of not being able to lead normal lives and to constantly be on the lookout for terror and terrorists!",May 22
"Bernie Sanders is continuing his quest because he believes that Crooked Hillary Clinton will be forced out of the race - e-mail scandal!",May 22
"Join me on Wednesday, May 25th at the Anaheim Convention Center! #Trump2016 #MAGA  Tickets: bit.ly/20nwDoeANAHEIM pic.twitter.com/xGkVbxTamz",May 22
"Crooked Hillary wants a radical 500% increase in Syrian refugees. We can’t allow this. Time to get smart and protect America!",May 22
"How can Crooked Hillary say she cares about women when she is silent on radical Islam, which horribly oppresses women?",May 22
"BREAKING POLL: Trump Gains 11 Points on Clinton Since March=> Now Leads Crooked Hillary 46-44 shar.es/1d46Y3 via @gatewaypundit",May 21
"Why do the networks continue to put dopey @BillKristol on panels when he has called every single shot about me wrong for 2 yrs?",May 22
"Hillary Clinton is not qualified to be president because her judgement has been proven to be so bad! Would be four more years of stupidity!",May 22
"Crooked Hillary said that I  want guns brought into the school classroom. Wrong!",May 21
"'@dubilujane: I trust @realDonaldTrump more anyone ever to protect America.He WILL do the right thing for the U.S.A, without a  doubt.",May 21
"Thank you to all of the men and women who have served our country. You are our true heroes! #ArmedForcesDay pic.twitter.com/A3Wus0cRIO",May 21
"Crooked Hillary Clintons foreign interventions unleashed ISIS in Syria, Iraq and Libya. She is reckless and dangerous!",May 21
"MAKE AMERICA GREAT AGAIN! pic.twitter.com/MAZK5bdZuD",May 21
".@CNN is so negative, getting even worse as I get closer. Just had two anti-Trump losers with zero rebuttal from my team. Turning off!",May 21
"'@RBacliff: Hillary wants to rip the guns out of America's hands. No guns = no protection. Get on #TrumpTrain & join @NRA to stop her.'",May 21
"Crooked Hillary wants to get rid of all guns and yet she is surrounded by bodyguards who are fully armed. No more guns to protect Hillary!",May 21
"While our wonderful president was out playing golf all day, the TSA is falling apart, just like our government! Airports a total disaster!",May 21
"Crooked Hillary is spending tremendous amounts of Wall Street money on false ads against me. She is a very dishonest person!",May 20
"Crooked Hillary Clinton wants to essentially abolish the 2nd Amendment. No gun owner can ever vote for Clinton!",May 20
"Thank you @TheTodaysGolfer for the wonderful statement that 'the new par 3 9th hole @Trump Turnberry could be the most dramatic in Britain.'",May 20
"@montgomeriefdn  Colin, great to have you at Trump Turnberry. So proud of you and your GREAT playing! You made winning MAJORS look easy!",May 20
"'@montgomeriefdn: @TrumpTurnberry Best Links Course in Britain. Ailsa Course opens June '16 Can't wait to play it pic.twitter.com/HnQbj3ipuS'",May 20
"Thank you for your wonderful endorsement today @TGowdySC. It means a great deal to me. We will not disappoint! #Trump2016",May 20
"Great day in Kentucky with Wayne LaPierre, Chris Cox & the @NRA!  #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/aJ7s0aqqj0",May 20
"Thank you! An honor to be the first candidate ever endorsed by the @NRA- prior to @GOPconvention! #Trump2016 #2A  twitter.com/nra/status/733…",May 20
"Failing @NYTimes will always take a good story about me and make it bad. Every article is unfair and biased. Very sad!",May 20
"Thanks @piersmorgan!  'Trump is the most unpredictable, extraordinary, entertaining&massively popular candidate this country has ever seen.'",May 20
"Crooked Hillary Clinton- discussing the #SecondAmendment at a private event. #2A cc: @NRA pic.twitter.com/vV31Pbpkmn",May 20
"I am on my way! See you all soon! twitter.com/nra/status/733…",May 20
"'A Call for Unity' by Jason Greenblatt @JasonDovEsq medium.com/@jgreenblatt/a…",May 20
"Crooked Hillary can't even close the deal with Bernie - and the Dems have it rigged in favor of Hillary. Four more years of this? No way!",May 20
"Crooked Hillary Clinton looks presidential? I don't think so! Four more years of Obama and our country will never come back. ISIS LAUGHS!",May 20
"Look where the world is today, a total mess, and ISIS is still running around wild. I can fix it fast, Hillary has no chance!",May 20
"Crooked Hillary has zero imagination and even less stamina. ISIS, China, Russia and all would love for her to be president. 4 more years!",May 20
"I said that Crooked Hillary Clinton is 'not qualified' to be president because she has 'very bad judgement' - Bernie said the same thing!",May 20
"Thank you @LtStevenLRogers. We will respond to terrorism with strength in 2017! amp.twimg.com/v/55610e7e-e37…",May 19
"How quality a woman is Rowanne Brewer Lane to have exposed the @nytimes as a disgusting fraud?  Thank you Rowanne.",May 19
"Looks like yet another terrorist attack. Airplane departed from Paris. When will we get tough, smart and vigilant? Great hate and sickness!",May 19
"My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!",May 18
"Some low-life journalist claims that I 'made a pass' at her 29 years ago. Never happened! Like the @nytimes story which has become a joke!",May 18
"#MakeAmericaGreatAgain #Trump2016 bit.ly/1R9vMkzFoxNews… pic.twitter.com/YZAdAndKXv",May 18
"Thank you Louisiana! #Trump2016 pic.twitter.com/u8hhrRRFMp",May 18
"Thank you Arizona! See you soon! #MakeAmericaGreatAgain pic.twitter.com/IC3pe5lRAS",May 18
"Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasn't even called the race?",May 18
